order_id,product_id,product_name,quantity,price,store_id,order_date
26287,503,Margherita Pizza,3,349,13,24-10-2024
63983,505,Paneer Butter Masala,2,297,14,12-10-2024
95848,513,French Fries,1,474,13,07-03-2024
62058,503,Cold Coffee,1,561,11,23-07-2024
27824,513,Chicken Roll,3,142,12,11-02-2024
33533,514,Tandoori Chicken,3,426,10,22-02-2024
16740,513,Pasta Alfredo,4,360,14,27-05-2024
61860,512,Chicken Biryani,4,146,12,09-07-2024
27605,501,Hakka Noodles,4,370,11,06-09-2024
10104,507,Chicken Roll,4,508,12,25-02-2024
90217,508,Cold Coffee,2,275,13,10-03-2024
87118,502,Masala Dosa,2,526,11,17-01-2024
48564,510,Chicken Roll,4,301,12,04-06-2024
24508,513,Fried Rice,2,443,12,31-07-2024
29638,514,Momos,3,257,13,04-01-2024
94440,514,Margherita Pizza,4,524,11,16-02-2024
67036,503,Idli Sambhar,3,549,13,31-01-2024
15338,510,French Fries,1,204,13,28-05-2024
82827,513,French Fries,2,210,13,25-05-2024
54129,509,Fried Rice,4,302,14,14-03-2024
93649,513,Masala Dosa,2,266,14,10-09-2024
57679,507,Momos,2,443,11,15-06-2024
99065,513,Tandoori Chicken,3,515,13,30-03-2024
13441,509,Tandoori Chicken,2,417,10,12-01-2024
35392,511,Paneer Butter Masala,2,418,12,22-12-2024
24574,507,Fried Rice,1,158,14,31-01-2024
53664,511,Masala Dosa,4,491,11,17-12-2024
42730,502,Masala Dosa,3,408,12,01-07-2024
79059,513,Paneer Butter Masala,1,295,14,22-02-2024
11399,501,Veg Burger,2,157,13,11-05-2024
14112,504,Masala Dosa,4,478,14,20-11-2024
43411,513,Fried Rice,1,216,11,08-01-2024
91681,502,Chicken Biryani,1,254,10,06-06-2024
68837,506,Chicken Roll,1,474,13,31-08-2024
13941,504,Tandoori Chicken,2,427,10,14-04-2024
78169,511,Hakka Noodles,3,285,11,26-07-2024
34407,501,Chicken Roll,3,592,12,20-06-2024
27349,509,Cold Coffee,1,533,14,26-11-2024
79758,512,Fried Rice,1,402,13,23-03-2024
98500,512,Cold Coffee,1,176,13,01-07-2024
26370,502,Paneer Butter Masala,1,223,14,24-10-2024
11739,506,Chicken Biryani,4,595,10,16-04-2024
70391,514,Masala Dosa,3,489,11,02-07-2024
